Groep,Species,Soort,GBIF_scientific_name,GBIF_code,EU_lijst,RIPARIAS_lijst,DUNIAS_lijst,ANB_lijst
dier,"Procambarus acutus (Girard, 1852)",gestreepte Amerikaanse rivierkreeft,"Procambarus acutus (Girard, 1852)",2227289,0,1,0,1
dier,"Cherax destructor Clark, 1936",gewone yabby,"Cherax destructor Clark, 1936",4417558,0,1,0,1
plant,Houttuynia cordata Thunb.,moerasanemoon,Houttuynia cordata Thunb.,5384931,0,1,0,1
plant,Aponogeton distachyos L.f.,Kaapse waterlelie,Aponogeton distachyos L.f.,5328593,0,1,0,1
plant,Elodea densa (Planch.) Casp.,egeria,Elodea densa (Planch.) Casp.,5329263,0,1,0,1
plant,Pontederia cordata L.,moerashyacint,Pontederia cordata L.,2766030,0,1,0,1
plant,Petasites japonicus (Siebold & Zucc.) Maxim.,Japans hoefblad,Petasites japonicus (Siebold & Zucc.) Maxim.,3088310,0,1,0,1
plant,Saururus cernuus L.,Leidse plant,Saururus cernuus L.,5384932,0,1,0,1
plant,Erythranthe guttata (DC.) G.L.Nesom,gele maskerbloem,Erythranthe guttata (DC.) G.L.Nesom,7346102,0,1,0,1
plant,Zizania latifolia (Griseb.) Hance ex F.Muell.,Mantsjoerese wilde rijst,Zizania latifolia (Griseb.) Hance ex F.Muell.,10919373,0,1,0,1
plant,Mahonia aquifolium (Pursh) Nutt.,mahonie,Mahonia aquifolium (Pursh) Nutt.,3033865,0,0,1,1
plant,Lycium barbarum L.,boksdoorn,Lycium barbarum L.,2928835,0,0,1,1
plant,Rosa rugosa Thunb.,rimpelroos,Rosa rugosa Thunb.,3003979,0,0,1,1
plant,Elaeagnus angustifolia L.,smalle olijfwilg,Elaeagnus angustifolia L.,3039269,0,0,1,1
plant,Symphoricarpos albus (L.) K.Koch,sneeuwbes,Symphoricarpos albus (L.) K.Koch,8012439,0,0,1,1
plant,Parthenocissus quinquefolia (L.) Planch.,vijfbladige wingerd,Parthenocissus quinquefolia (L.) Planch.,3039194,0,0,1,1
plant,Parthenocissus inserta (A.Kern.) Fritsch,valse wingerd,Parthenocissus inserta (A.Kern.) Fritsch,3039203,0,0,1,1
dier,"Cervus nippon Temminck, 1838",sikahert,"Cervus nippon Temminck, 1838",2440954,0,0,0,1
dier,"Cipangopaludina chinensis (J.E.Gray, 1833)",Chinese moerasslak,"Cipangopaludina chinensis (J.E.Gray, 1833)",9738098,0,0,0,1
dier,"Elaphe taeniura (Cope, 1861)",Chinese prachtslang,"Elaphe taeniura (Cope, 1861)",8889878,0,0,0,1
dier,"Pontastacus leptodactylus (Eschscholtz, 1823)",Turkse rivierkreeft,"Pontastacus leptodactylus (Eschscholtz, 1823)",8946295,0,0,0,1
plant,Prunus serotina Ehrh.,Amerikaanse vogelkers,Prunus serotina Ehrh.,3021850,0,0,0,1
dier,"Neogobius melanostomus (Pallas, 1814)",zwartbekgrondel,"Neogobius melanostomus (Pallas, 1814)",2379089,0,0,0,1
dier,"Ponticola kessleri (Günther, 1861)",Kesslergrondel,"Ponticola kessleri (Günther, 1861)",4285968,0,0,0,1
dier,"Neogobius fluviatilis (Pallas, 1814)",Pontische stroomgrondel,"Neogobius fluviatilis (Pallas, 1814)",2379105,0,0,0,1
dier,"Proterorhinus semilunaris (Heckel, 1837)",marmergrondel,"Proterorhinus semilunaris (Heckel, 1837)",2379245,0,0,0,1
plant,Solidago gigantea Aiton,late guldenroede,Solidago gigantea Aiton,5389017,0,0,0,1
plant,Solidago canadensis L.,Canadese guldenroede,Solidago canadensis L.,5389029,0,0,0,1
dier,"Umbra pygmaea (DeKay, 1842)",Amerikaanse hondsvis,"Umbra pygmaea (DeKay, 1842)",5203111,0,0,0,1
